Al-Faatihah  (الفاتحة)
Al-Baqarah  (البقرة)
Aali Imran  (آل عمران)
An-Nisaa'  (النساء)
Al-Maa'idah  (المائدة)
Al-An'aam  (الأنعام)
Al-A'raaf  (الأعراف)
Al-Anfaal  (الأنفال)
At-Tawbah  (التوبة)
Younus  (يونس)
Houd  (هود)
Yousuf  (يوسف)
Ar-Ra'd  (الرعد)
Ibraahiym  (إبراهيم)
Al-Hijr  (الحجر)
An-Nahl  (النحل)
Al-Israa'  (الإسراء)
Al-Kahf  (الكهف)
Maryam  (مريم)
Taa-Haa  (طه)
Al-Anbiyaa'  (الأنبياء)
Al-Hajj  (الحج)
Al-Mu'minoun  (المؤمنون)
An-Nour  (النور)
Al-Furqaan  (الفرقان)
Ash-Shu'araa'  (الشعراء)
An-Naml  (النمل)
Al-Qasas  (القصص)
Al-'Ankabout  (العنكبوت)
Ar-Roum  (الروم)
Luqmaan  (لقمان)
As-Sajdah  (السجدة)
Al-Ahzaab  (الأحزاب)
Saba'  (سبأ)
Faatir  (فاطر)
Ya Siyn  (يس)
As-Saaffaat  (الصافّات)
Saad  (ص)
Az-Zumar  (الزمر)
Ghaafir  (غافر)
Fussilat  (فصلت)
Ash-Shouraa  (الشورى‎)
Az-Zukhruf  (الزخرف)
Ad-Dukhaan  (الدخان)
Al-Jaathiyah  (الجاثية)
Al-Ahqaaf  (الأحقاف)
Muhammad  (محمد)
Al-Fath  (الفتح)
Al-Hujuraat  (الحجرات)
Qaaf  (ق)
Adzh-Dzhaariyaat  (الذاريات)
At-Tour  (الطور)
An-Najm  (النجم)
Al-Qamar  (القمر)
Ar-Rahmaan  (الرحمن)
Al-Waaqi'ah  (الواقعة)
Al-Hadiyd  (الحديد)
Al-Mujaadilah  (المجادلة)
Al-Hashr  (الحشر)
Al-Mumtahanah  (الممتحنة)
As-Saff  (الصف)
Al-Jumu'ah  (الجمعة)
Al-Munaafiqoun  (المنافقون)
At-Taghaabun  (التغابن)
At-Talaaq  (الطلاق)
At-Tahriym  (التحريم)
Al-Mulk  (الملك)
Al-Qalam  (القلم)
Al-Haaqqah  (الحاقة)
Al-Ma'aarij  (المعارج)
Nouh  (نوح)
Al-Jinn  (الجن)
Al-Muzzammil  (المزمل)
Al-Muddaththir  (المدثر)
Al-Qiyaamah  (القيامة)
Al-Insaan  (الإنسان)
Al-Mursalaat  (المرسلات)
An-Naba'  (النبأ)
An-Naazi'aat  (النازعات)
'Abasa  (عبس)
At-Takwiyr  (التكوير)
Al-Infitaar  (الإنفطار)
Al-Mutaffifiyn  (المطففين)
Al-Inshiqaaq  (الإنشقاق)
Al-Burouj  (البروج)
At-Taariq  (الطارق)
Al-A'la  (الأعلى)
Al-Ghaashiyah  (الغاشية)
Al-Fajr  (الفجر)
Al-Balad  (البلد)
Ash-Shams  (الشمس)
Al-Layl  (الليل)
Ad-Dhuhaa  (الضحى)
Ash-Sharh  (الشرح‎)
At-Tiyn  (التين)
al-'Alaq  (العلق)
Al-Qadr  (القدر)
Al-Bayyinah  (البينة)
Az-Zalzalah  (الزلزلة)
Al-'Aadiyaat  (العاديات)
al-Qaari'ah  (القارعة)
At-Takaathur  (التكاثر)
Al-'Asr  (العصر)
Al-Humazah  (الهمزة)
Al-Fiyl  (الفيل)
Quraysh  (قريش)
Al-Maa'oun  (الماعون)
Al-Kawthar  (الكوثر)
Al-Kaafiroun  (الكافرون)
An-Nasr  (النصر)
Al-Masad  (المسد)
Al-Ikhlaas  (الإخلاص)
Al-Falaq  (الفلق)
An-Naas  (الناس)
